Year,Season,Temperature,Secchi
1970,Fall,NA,NA
1971,Fall,NA,NA
1972,Fall,NA,NA
1973,Fall,NA,NA
1974,Fall,NA,NA
1975,Fall,NA,NA
1976,Fall,NA,NA
1977,Fall,18.32109641387419,58.501473063973066
1978,Fall,17.19781833453402,43.54773395328951
1979,Fall,18.294047513565058,50.01543209876543
1980,Fall,17.420888786617798,47.217021505983226
1981,Fall,18.23395674370396,51.9071763209145
1982,Fall,16.773944138144017,48.92463823750056
1983,Fall,18.06549686681631,54.86071153489454
1984,Fall,NA,NA
1985,Fall,NA,NA
1986,Fall,17.20386928536847,44.97723128813815
1987,Fall,18.687799397256097,NA
1988,Fall,18.305235852339955,64.0597643097643
1989,Fall,18.21012150401039,63.695659587326254
1990,Fall,18.204064540821076,73.29326836320301
1991,Fall,19.12636760346891,70.78152309745447
1992,Fall,19.601964699909143,73.6126068708585
1993,Fall,18.311067652887104,67.70209728989595
1994,Fall,16.735533980086014,77.36809100286655
1995,Fall,18.15377803647514,66.45636649425394
1996,Fall,17.537624850282594,76.48916110316938
1997,Fall,NA,NA
1998,Fall,NA,NA
1999,Fall,NA,NA
2000,Fall,NA,NA
2001,Fall,NA,NA
2002,Fall,NA,NA
2003,Fall,18.34218442889273,77.77829712822509
2004,Fall,17.79877139447771,86.14522886891935
2005,Fall,17.776917824322947,87.65752915343788
2006,Fall,17.497763442338062,86.02363828267052
2007,Fall,17.925094137248735,96.48829897749555
2008,Fall,18.153781513266807,96.92401284381168
2009,Fall,18.002400061207627,110.2881392690994
2010,Fall,18.545488560167566,119.29848962397938
2011,Fall,17.732910310831624,109.09865245291505
2012,Fall,18.885976269669722,124.97158267158312
2013,Fall,18.11380896902769,113.46363411037639
2014,Fall,19.93059695110245,131.69385322999366
2015,Fall,19.51362672683314,120.81416477136841
2016,Fall,18.685155018752106,129.3731329865217
2017,Fall,18.260942073827994,111.49552260593121
2018,Fall,18.246695116775385,138.23360031175235
2019,Fall,18.261868819998067,132.20895787713545
2020,Fall,NA,NA
2021,Fall,NA,NA
1970,Spring,NA,NA
1971,Spring,NA,NA
1972,Spring,NA,NA
1973,Spring,NA,NA
1974,Spring,NA,NA
1975,Spring,NA,NA
1976,Spring,NA,NA
1977,Spring,NA,NA
1978,Spring,15.89244222700701,29.38402076203347
1979,Spring,15.769664275258211,35.595679015877806
1980,Spring,15.35697190486546,38.6351023889751
1981,Spring,17.21686476235517,37.572438442108265
1982,Spring,14.992463399889377,41.57587447723944
1983,Spring,13.785235271066519,NA
1984,Spring,NA,NA
1985,Spring,15.997722647307214,61.97847556829749
1986,Spring,16.29726065023442,NA
1987,Spring,17.198249311722986,54.14134768112855
1988,Spring,17.004628911612883,56.561065017524555
1989,Spring,16.80374610463449,51.00675161723735
1990,Spring,17.022343040683104,58.553201981109694
1991,Spring,14.944207759558845,44.72336009127589
1992,Spring,17.964935436788707,47.847789481985885
1993,Spring,16.117243412973835,45.40351655518223
1994,Spring,16.43641495647426,60.798743015630734
1995,Spring,14.738071083765991,45.70257536105645
1996,Spring,NA,NA
1997,Spring,16.57079880398572,49.27982994600324
1998,Spring,NA,NA
1999,Spring,NA,NA
2000,Spring,15.786847519882759,48.53904457544072
2001,Spring,16.58648712656865,44.724748903826736
2002,Spring,15.622232890717173,53.13119817340161
2003,Spring,15.856427167238554,57.32470465299925
2004,Spring,17.200487069246776,51.44460439258672
2005,Spring,16.145440728013725,63.808525935197665
2006,Spring,14.569173882223897,55.17502182829022
2007,Spring,16.367079227925217,NA
2008,Spring,15.805859272939474,58.37705161078282
2009,Spring,16.10596053627914,70.73711185275785
2010,Spring,14.942704865105389,70.27465854035283
2011,Spring,14.471998851374122,73.12336199182054
2012,Spring,15.853402463884906,68.9722512694185
2013,Spring,17.128723307305112,82.76718461733367
2014,Spring,17.200486248246442,87.83804136711574
2015,Spring,17.661772332987177,77.23290438208898
2016,Spring,17.011420292024383,73.02575813262695
2017,Spring,NA,NA
2018,Spring,15.77818984575183,NA
2019,Spring,15.245548144405422,NA
2020,Spring,NA,NA
2021,Spring,NA,NA
1970,Summer,NA,NA
1971,Summer,NA,NA
1972,Summer,NA,NA
1973,Summer,NA,NA
1974,Summer,NA,NA
1975,Summer,NA,NA
1976,Summer,NA,NA
1977,Summer,22.612111811914563,52.551690947003515
1978,Summer,NA,NA
1979,Summer,NA,NA
1980,Summer,NA,NA
1981,Summer,NA,NA
1982,Summer,21.66865285449002,38.571897051378514
1983,Summer,NA,NA
1984,Summer,NA,NA
1985,Summer,NA,NA
1986,Summer,NA,NA
1987,Summer,NA,NA
1988,Summer,22.11135696226875,43.6949990943668
1989,Summer,NA,NA
1990,Summer,NA,NA
1991,Summer,NA,NA
1992,Summer,NA,NA
1993,Summer,21.793109595431318,48.2164282424916
1994,Summer,22.496775488694126,59.17487708949013
1995,Summer,21.05765080418921,56.04739824907906
1996,Summer,NA,NA
1997,Summer,NA,NA
1998,Summer,NA,NA
1999,Summer,NA,NA
2000,Summer,NA,NA
2001,Summer,NA,NA
2002,Summer,NA,NA
2003,Summer,NA,NA
2004,Summer,22.112485832930624,62.31680004895821
2005,Summer,21.79171404486347,NA
2006,Summer,22.427941666933183,60.773461591105374
2007,Summer,22.064424337309482,70.15939596061202
2008,Summer,22.080464343416725,NA
2009,Summer,21.78953221099883,84.53631024381166
2010,Summer,21.194298488360925,88.79420233195792
2011,Summer,20.99874172459691,90.69261660948406
2012,Summer,21.887988162143227,91.25664645509714
2013,Summer,22.255877642399547,82.70291024062256
2014,Summer,22.964051663291613,104.33594298517434
2015,Summer,22.93354398462135,87.3749319045175
2016,Summer,22.365019874325732,87.67246350960357
2017,Summer,22.18534359230636,NA
2018,Summer,22.428943925589202,NA
2019,Summer,22.423284112630828,NA
2020,Summer,NA,NA
2021,Summer,NA,NA
1970,Winter,NA,NA
1971,Winter,NA,NA
1972,Winter,NA,NA
1973,Winter,NA,NA
1974,Winter,NA,NA
1975,Winter,NA,NA
1976,Winter,NA,NA
1977,Winter,NA,NA
1978,Winter,11.330098039215686,32.19467009025833
1979,Winter,NA,NA
1980,Winter,NA,NA
1981,Winter,10.352534266210538,42.02327554327247
1982,Winter,9.637111636557457,35.54515332448769
1983,Winter,9.91002122433237,29.658395580454403
1984,Winter,NA,NA
1985,Winter,NA,NA
1986,Winter,10.285152001977261,59.45408496732026
1987,Winter,10.218612808759868,63.249387889439795
1988,Winter,10.424201593293288,NA
1989,Winter,NA,NA
1990,Winter,10.265001258636497,NA
1991,Winter,9.601726395336689,NA
1992,Winter,9.682364983600278,83.84978118286942
1993,Winter,9.873362081785958,44.471064806012905
1994,Winter,9.651681309361315,74.69998295998246
1995,Winter,10.183879780073235,47.03574440023938
1996,Winter,NA,NA
1997,Winter,NA,NA
1998,Winter,NA,NA
1999,Winter,NA,NA
2000,Winter,NA,NA
2001,Winter,NA,NA
2002,Winter,NA,NA
2003,Winter,NA,NA
2004,Winter,NA,NA
2005,Winter,10.53484813944661,58.90928613727432
2006,Winter,10.616847493013,57.96381313507555
2007,Winter,9.55606506312309,75.0429599454743
2008,Winter,9.229520453808227,51.226279733779805
2009,Winter,10.051076144476262,91.28271046909906
2010,Winter,10.016055405986249,80.89533753935495
2011,Winter,9.802992136118597,80.56837774204529
2012,Winter,9.81825855603753,96.28625006020239
2013,Winter,10.36871564516734,67.87810733967358
2014,Winter,10.003263904064964,109.23353128433754
2015,Winter,12.12273744803632,65.81659803907607
2016,Winter,10.446443774957014,71.88036754845754
2017,Winter,10.506736451253895,NA
2018,Winter,11.293105782672965,NA
2019,Winter,10.468350782046222,NA
2020,Winter,NA,NA
2021,Winter,NA,NA
